,locality,type of property,subtype of property,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
146,La Louvière Haine-Saint-Pierre,HOUSE,APARTMENT_BLOCK,325000.0,0.0,203.0,SEMI_EQUIPPED,False,,True,,,,400,2,False,GOOD
147,CLAVIER-STATION,HOUSE,HOUSE,335000.0,4.0,160.0,INSTALLED,,-1.0,True,,True,,638,4,,GOOD
148,Dendermonde,HOUSE,HOUSE,345000.0,3.0,156.0,INSTALLED,,-1.0,,,True,,270,2,,JUST_RENOVATED
149,Rixensart Genval,HOUSE,VILLA,349000.0,3.0,112.0,INSTALLED,False,,True,50.0,True,897.0,984,4,False,TO_BE_DONE_UP
150,,,,,,,,,,,,,,,,,
151,BERCHEUX,HOUSE,HOUSE,450000.0,4.0,210.0,INSTALLED,,-1.0,,,True,,1497,4,,AS_NEW
152,Ganshoren,HOUSE,APARTMENT_BLOCK,875000.0,8.0,470.0,INSTALLED,,-1.0,,,,,515,2,,GOOD
153,Liège,APARTMENT,APARTMENT,25000.0,1.0,62.0,,,-1.0,,,,,,2,,TO_RENOVATE
154,Paliseul,HOUSE,HOUSE,50000.0,3.0,165.0,INSTALLED,,1.0,,,True,,1215,4,,GOOD
155,Seraing,HOUSE,HOUSE,35000.0,4.0,177.0,INSTALLED,,-1.0,True,,True,450.0,659,3,,GOOD
156,Wavre,HOUSE,HOUSE,525000.0,4.0,148.0,INSTALLED,,-1.0,True,44.0,True,,777,4,,
157,Baudour,HOUSE,HOUSE,219000.0,4.0,200.0,INSTALLED,False,,True,,,,0,UNKNOWN,False,UNKNOWN
158,Roeselare,HOUSE,MIXED_USE_BUILDING,461900.0,3.0,168.0,0,,,True,,,,878,3,,
159,Roeselare,HOUSE,HOUSE,461900.0,3.0,168.0,0,,,True,,,,878,3,,
160,Anzegem,HOUSE,HOUSE,297500.0,3.0,,0,,,True,,,,359,3,,GOOD
161,Izegem,HOUSE,HOUSE,285000.0,3.0,225.0,0,,,True,,,,248,2,,AS_NEW
162,SORÉE,HOUSE,HOUSE,420000.0,3.0,185.0,INSTALLED,,1.0,,,,,2336,4,,GOOD
163,Etterbeek,APARTMENT,APARTMENT,795000.0,3.0,210.0,INSTALLED,,-1.0,,,True,150.0,UNKNOWN,,,JUST_RENOVATED
164,Mouscron,HOUSE,HOUSE,209000.0,3.0,112.0,INSTALLED,,-1.0,True,10.0,True,58.0,119,2,,JUST_RENOVATED
165,SERAING-LE-CHÂTEAU,HOUSE,HOUSE,230000.0,4.0,198.0,0,,-1.0,,,True,535.0,665,4,,TO_BE_DONE_UP
166,Brasschaat,HOUSE,HOUSE,395000.0,3.0,141.0,INSTALLED,,-1.0,True,,True,,352,3,,GOOD
167,Wauthier-Braine,HOUSE,HOUSE,350000.0,7.0,200.0,,False,,,,,,340,3,False,
168,Roosdaal,HOUSE,HOUSE,269000.0,2.0,146.0,SEMI_EQUIPPED,,-1.0,,,,,440,4,,TO_RENOVATE
169,Deurne,APARTMENT,APARTMENT,210000.0,2.0,91.0,SEMI_EQUIPPED,,-1.0,True,3.0,,,,2,,AS_NEW
170,Deurne,APARTMENT,APARTMENT,285000.0,3.0,100.0,USA_INSTALLED,,-1.0,,,,,,2,,AS_NEW
171,BOIS-DE-VILLERS,HOUSE,HOUSE,265000.0,3.0,125.0,SEMI_EQUIPPED,,-1.0,,,True,342.0,755,4,,TO_RENOVATE
172,Etterbeek,APARTMENT,PENTHOUSE,495000.0,2.0,119.0,USA_HYPER_EQUIPPED,False,,True,15.0,,,,3,False,AS_NEW
173,ROCOURT,APARTMENT,APARTMENT,190000.0,2.0,75.0,SEMI_EQUIPPED,,-1.0,,,,,UNKNOWN,,,GOOD
174,PONTILLAS,HOUSE,HOUSE,370000.0,4.0,189.0,SEMI_EQUIPPED,,1.0,True,,True,,0,4,,GOOD
175,Schaerbeek,APARTMENT,APARTMENT,395000.0,2.0,146.0,INSTALLED,,-1.0,True,10.0,,,UNKNOWN,2,,GOOD
176,Bastogne,HOUSE,HOUSE,295000.0,3.0,,INSTALLED,,-1.0,,,,,160,2,,JUST_RENOVATED
177,Bastogne,HOUSE,APARTMENT_BLOCK,295000.0,3.0,,INSTALLED,,-1.0,,,,,160,2,,JUST_RENOVATED
178,Gent,APARTMENT,APARTMENT,250000.0,1.0,60.0,USA_HYPER_EQUIPPED,False,,True,10.0,,,,4,False,AS_NEW
