,url,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
1182,https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/10686638,Flanders,West Flanders,Roeselare,8800,HOUSE,HOUSE,293500.0,4.0,,0,False,,,,True,,227,,False,GOOD
1183,https://www.immoweb.be/en/classified/house/for-sale/hooglede/8830/10686637,Flanders,West Flanders,Hooglede,8830,HOUSE,HOUSE,293500.0,4.0,138.0,0,False,,,,True,,227,UNKNOWN,False,UNKNOWN
1184,https://www.immoweb.be/en/classified/house/for-sale/hooglede/8830/10686636,Flanders,West Flanders,Hooglede,8830,HOUSE,HOUSE,284000.0,4.0,,0,False,,,,True,,113,,False,GOOD
1185,https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/10686635,Flanders,West Flanders,Roeselare,8800,HOUSE,HOUSE,299000.0,3.0,,0,False,,,,True,,249,,False,GOOD
1186,https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/10686634,Flanders,West Flanders,Roeselare,8800,HOUSE,HOUSE,296500.0,4.0,,0,False,,,,True,,225,UNKNOWN,False,UNKNOWN
1187,https://www.immoweb.be/en/classified/villa/for-sale/roeselare/8800/10686633,Flanders,West Flanders,Roeselare,8800,HOUSE,VILLA,311000.0,4.0,70.0,0,False,,,,True,,267,,False,GOOD
1188,https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/10686632,Flanders,East Flanders,SINT-NIKLAAS,9100,APARTMENT,APARTMENT,399000.0,2.0,125.0,INSTALLED,,-1.0,True,,,,,2,,GOOD
1189,https://www.immoweb.be/en/classified/house/for-sale/bonheiden/2820/10686631,Flanders,Antwerp,Bonheiden,2820,HOUSE,HOUSE,448000.0,3.0,286.0,INSTALLED,,-1.0,True,,True,,540,4,,
1190,https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/10686623,Flanders,Limburg,Diepenbeek,3590,APARTMENT,APARTMENT,248050.0,2.0,79.0,HYPER_EQUIPPED,,-1.0,True,12.0,,,,2,,
1191,https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/10686622,Flanders,Limburg,Diepenbeek,3590,APARTMENT,APARTMENT,284050.0,2.0,89.0,HYPER_EQUIPPED,,-1.0,True,12.0,,,,2,,
1192,https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/10686621,Flanders,Limburg,Diepenbeek,3590,APARTMENT,APARTMENT,210978.0,1.0,65.0,HYPER_EQUIPPED,,-1.0,True,9.0,,,,2,,
1193,https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/10686620,Flanders,Limburg,Diepenbeek,3590,APARTMENT,APARTMENT,211200.0,1.0,65.0,HYPER_EQUIPPED,,-1.0,True,9.0,,,,2,,
1194,https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/10686619,Flanders,Limburg,Diepenbeek,3590,APARTMENT,APARTMENT,248050.0,2.0,79.0,HYPER_EQUIPPED,,-1.0,True,12.0,,,,2,,
1195,https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/10686618,Flanders,Limburg,Diepenbeek,3590,APARTMENT,APARTMENT,251990.0,2.0,79.0,HYPER_EQUIPPED,,-1.0,True,12.0,,,,2,,
1196,https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/10686616,Flanders,Limburg,Diepenbeek,3590,APARTMENT,APARTMENT,211200.0,1.0,65.0,HYPER_EQUIPPED,,-1.0,True,9.0,,,,2,,
1197,https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/10686615,Flanders,Limburg,Diepenbeek,3590,APARTMENT,APARTMENT,284625.0,2.0,89.0,HYPER_EQUIPPED,,-1.0,True,12.0,,,,2,,
1198,https://www.immoweb.be/en/classified/apartment/for-sale/diepenbeek/3590/10686614,Flanders,Limburg,Diepenbeek,3590,APARTMENT,APARTMENT,284993.0,2.0,89.0,HYPER_EQUIPPED,,-1.0,True,12.0,,,,2,,
1199,https://www.immoweb.be/en/classified/apartment/for-sale/kozen/3850/10686613,Flanders,Limburg,KOZEN,3850,APARTMENT,APARTMENT,270000.0,2.0,119.0,HYPER_EQUIPPED,,-1.0,True,13.0,,,,2,,
1200,https://www.immoweb.be/en/classified/house/for-sale/haneffe/4357/10539297,Wallonie,Liège,HANEFFE,4357,HOUSE,HOUSE,280000.0,4.0,150.0,INSTALLED,,-1.0,True,,True,,678,3,,GOOD
1201,https://www.immoweb.be/en/classified/house/for-sale/wanze/4500/10621346,Wallonie,Liège,Wanze,4500,HOUSE,HOUSE,280000.0,1.0,150.0,SEMI_EQUIPPED,,-1.0,True,,True,,265,3,,GOOD
1202,https://www.immoweb.be/en/classified/house/for-sale/kapelle-op-den-bos/1880/10606904,Flanders,Flemish Brabant,Kapelle-op-den-Bos,1880,HOUSE,HOUSE,289000.0,2.0,140.0,SEMI_EQUIPPED,,-1.0,True,42.0,True,,318,2,,TO_BE_DONE_UP
1203,https://www.immoweb.be/en/classified/apartment-block/for-sale/grivegn%C3%A9e/4030/10481539,Wallonie,Liège,Grivegnée,4030,HOUSE,APARTMENT_BLOCK,289000.0,5.0,190.0,0,,-1.0,True,30.0,,,167,3,,GOOD
1204,https://www.immoweb.be/en/classified/house/for-sale/grivegn%C3%A9e/4030/10481538,Wallonie,Liège,Grivegnée,4030,HOUSE,HOUSE,289000.0,5.0,190.0,0,,-1.0,True,30.0,,,167,3,,GOOD
1205,https://www.immoweb.be/en/classified/apartment-block/for-sale/oupeye%20haccourt/4684/10625613,Wallonie,Liège,Oupeye Haccourt,4684,HOUSE,APARTMENT_BLOCK,289000.0,4.0,229.0,INSTALLED,False,,True,236.0,True,373.0,606,3,False,GOOD
1206,https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/10630006,Flanders,East Flanders,Brakel,9660,HOUSE,HOUSE,289000.0,4.0,227.0,HYPER_EQUIPPED,False,,True,64.0,True,64.0,180,2,False,GOOD
1207,https://www.immoweb.be/en/classified/house/for-sale/wanze/4520/10583235,Wallonie,Liège,Wanze,4520,HOUSE,HOUSE,290000.0,3.0,116.0,INSTALLED,,-1.0,True,,,,590,4,,GOOD
1208,https://www.immoweb.be/en/classified/town-house/for-sale/braine-l%27alleud/1420/10634664,Wallonie,Walloon Brabant,Braine-l'Alleud,1420,HOUSE,TOWN_HOUSE,295000.0,3.0,135.0,INSTALLED,False,-1.0,True,12.0,True,90.0,213,2,,TO_RENOVATE
1209,https://www.immoweb.be/en/classified/house/for-sale/villers-la-ville/1495/10415711,Wallonie,Walloon Brabant,Villers-la-Ville,1495,HOUSE,HOUSE,295000.0,3.0,115.0,USA_HYPER_EQUIPPED,False,,True,15.0,True,15.0,70,2,False,AS_NEW
1210,https://www.immoweb.be/en/classified/house/for-sale/seneffe/7180/10406583,Wallonie,Hainaut,Seneffe,7180,HOUSE,HOUSE,298000.0,3.0,148.0,SEMI_EQUIPPED,,1.0,True,14.0,True,1800.0,2406,3,,GOOD
1211,https://www.immoweb.be/en/classified/house/for-sale/halle/1500/10441256,Flanders,Flemish Brabant,Halle,1500,HOUSE,HOUSE,299000.0,3.0,160.0,SEMI_EQUIPPED,,-1.0,True,,,,298,2,,TO_BE_DONE_UP
1212,https://www.immoweb.be/en/classified/house/for-sale/kapelle-op-den-bos/1880/10606905,Flanders,Flemish Brabant,Kapelle-op-den-Bos,1880,HOUSE,HOUSE,299000.0,2.0,195.0,SEMI_EQUIPPED,,-1.0,,,True,,266,2,,TO_RENOVATE
1213,https://www.immoweb.be/en/classified/house/for-sale/chaudfontaine/4050/10338729,Wallonie,Liège,Chaudfontaine,4050,HOUSE,HOUSE,299000.0,4.0,168.0,SEMI_EQUIPPED,False,,True,33.0,True,600.0,1000,4,False,TO_RENOVATE
1214,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10651255,Flanders,East Flanders,Ronse,9600,HOUSE,HOUSE,299000.0,4.0,200.0,USA_HYPER_EQUIPPED,False,,True,30.0,True,83.0,207,2,False,GOOD
1215,https://www.immoweb.be/en/classified/house/for-sale/waremme/4300/10641552,Wallonie,Liège,Waremme,4300,HOUSE,HOUSE,300000.0,3.0,120.0,,False,,True,20.0,True,500.0,771,3,False,GOOD
1216,https://www.immoweb.be/en/classified/house/for-sale/villers-la-ville/1495/10415695,Wallonie,Walloon Brabant,Villers-la-Ville,1495,HOUSE,HOUSE,310000.0,3.0,100.0,USA_HYPER_EQUIPPED,,,True,15.0,True,35.0,80,2,False,AS_NEW
